Student_ID,First_Name,Last_Name,Gender,Age,Grade,Math_Score,English_Score,Science_Score,Attendance_Percentage,City,State,
207,Jennifer,Butler,Male,9,8th,20,88,18,82.27,Port Chris,California,
208,William,Gill,Male,12,6th,30,39,52,92.69,Melissabury,Minnesota,
209,Samuel,Sharp,Male,9,1st,14,56,28,87.58,Allenbury,Vermont,
210,Eric,Santana,Female,14,4th,5,6,84,65.62,South Kathryn,Vermont,
211,Hunter,Hull,Female,11,8th,40,76,18,90.8,East William,Oklahoma,
212,Kathleen,Hayes,Female,18,4th,73,0,45,94.83,Sabrinafort,New Mexico,
213,Kelly,Kennedy,Male,10,2nd,16,6,63,87.97,Sandraberg,Pennsylvania,
214,Eric,Humphrey,Male,12,5th,56,98,3,89.56,North Fredbury,Michigan,
215,Crystal,Burton,Other,13,6th,33,48,31,98.29,Whitemouth,Nevada,
216,Rachael,Zimmerman,Other,14,4th,47,98,73,74.45,Jamesshire,Florida,
217,Stacey,Adams,Female,16,1st,23,25,94,90.91,Charlesport,Nevada,
218,David,Brown,Male,11,11th,26,31,89,89.89,Lake Kyleburgh,Pennsylvania,
219,Bradley,Martin,Other,10,4th,71,47,55,68.59,New Tylerland,Georgia,
220,Robert,Miller,Female,10,9th,90,30,46,72.85,Nicolemouth,South Dakota,
221,Paul,Smith,Female,11,6th,4,25,26,69.11,Christinetown,Ohio,
222,Lindsey,Weeks,Other,14,7th,85,11,95,74.49,West Shawn,New Jersey,
223,Allison,Boyd,Female,13,8th,40,2,11,67.96,Smithview,North Carolina,
224,Christopher,Gonzalez,Male,13,8th,44,53,24,98.86,Port Ashley,Mississippi,
225,Timothy,Brown,Female,7,1st,18,3,48,70.36,East Michael,Hawaii,
226,Bryan,Wolfe,Male,18,1st,47,1,81,84.14,South Kimberg,New Jersey,
227,Jessica,Craig,Male,17,11th,57,43,13,97.31,South Emma,Delaware,
228,Alan,Smith,Other,13,6th,69,24,35,65.61,New Jenniferfort,South Carolina,
229,Jordan,Barker,Other,18,2nd,20,87,80,85.69,Lake Lori,South Carolina,
230,Megan,Campbell,Other,11,12th,68,85,86,77.09,Matthewshire,Alaska,
231,James,Diaz,Female,9,9th,38,8,69,92.24,Ashleyhaven,California,
232,Jon,Hernandez,Other,11,11th,15,28,57,91.92,Millsbury,North Carolina,
233,Gilbert,Clark,Other,11,5th,3,12,67,93.27,East Juliafurt,Arizona,
234,Heather,Berry,Female,12,12th,51,85,22,62.41,South Maryfort,Michigan,
235,James,Torres,Other,6,5th,63,21,33,99.59,South Joelstad,North Dakota,
236,Kendra,Hughes,Female,15,10th,98,92,86,74.94,South Jacqueline,Louisiana,
237,Emily,Raymond,Female,9,9th,18,21,44,82.63,Wilsonbury,Utah,
238,Robert,Mata,Male,17,10th,58,5,42,99.83,Jenniferton,Montana,
239,Kathleen,Robinson,Male,8,3rd,40,53,50,98.39,Lake George,Idaho,
240,Hailey,Ford,Other,6,7th,19,65,75,94.92,Gonzalezview,Delaware,
241,Sandra,Shepard,Female,10,11th,0,13,53,73.08,East Russellland,Indiana,
242,Jacob,Henderson,Male,14,7th,94,41,35,81.55,East Michael,New Mexico,
243,Jennifer,Young,Male,15,6th,69,41,39,71.31,West Kenneth,South Dakota,
244,Seth,Howard,Male,15,10th,64,71,24,73.35,Lisaton,Nebraska,
245,Thomas,Reid,Male,17,11th,42,80,5,62.68,Port Amystad,South Carolina,
246,Cynthia,Estrada,Other,12,2nd,82,24,74,63.02,Merrittport,Minnesota,
247,Amanda,Willis,Male,10,9th,90,79,66,63.69,Christineburgh,Pennsylvania,
248,Dawn,Romero,Other,8,5th,37,26,89,82.33,Lisafort,Tennessee,
249,Andre,Leblanc,Female,9,7th,60,69,43,64.49,East Seth,New York,
250,Stephanie,Wade,Other,11,4th,37,50,78,66.33,Torresview,Arizona,
251,Aaron,Fernandez,Male,9,9th,96,54,15,80.54,West Jose,Minnesota,
252,Joel,Lee,Female,12,7th,73,15,55,94.06,Holmesfort,Illinois,
253,Gerald,Arnold,Female,15,6th,85,29,58,82.96,South Bobby,Kansas,
254,John,Sanders,Other,9,6th,18,27,72,78.74,Monicashire,North Carolina,
255,Jacob,Pugh,Female,13,8th,72,13,44,86.01,Melissashire,Massachusetts,
256,Emily,Morgan,Other,14,8th,93,45,36,67.64,Simmonschester,South Carolina,
257,David,Rice,Female,16,10th,56,41,14,62.92,Port Ashleyhaven,Louisiana,
258,Shawn,Smith,Other,16,1st,43,22,1,87.36,Lake Erin,Montana,
259,Tami,Hernandez,Male,11,9th,88,1,63,92.71,Lake Kayla,Missouri,
260,Stephanie,Webb,Other,10,3rd,14,51,87,78.63,Jamesberg,Texas,
261,Emily,Smith,Other,18,8th,93,83,18,95.57,Westside,Georgia,
262,Kaitlin,Hill,Male,13,3rd,61,40,59,99.77,Tiffanyland,Alaska,
263,Wayne,Williams,Other,17,4th,5,1,87,66.09,Lorimouth,Pennsylvania,
264,William,Wilson,Other,16,2nd,17,49,19,73.22,Nicoleburgh,Colorado,
265,James,Cruz,Female,17,9th,86,27,66,67.27,East Robertmouth,Oklahoma,
266,Marc,Smith,Other,13,11th,70,58,37,83.01,West Annaport,Iowa,
267,Robert,Williams,Female,13,5th,14,28,79,78.16,Lake Jacqueline,Louisiana,
268,Patrick,Black,Male,8,4th,39,8,71,91.24,Port Ryanton,Nevada,
269,Lee,Henderson,Female,17,3rd,3,84,85,89.58,Kathleenfort,South Carolina,
270,Sharon,Mason,Female,18,3rd,51,35,20,97.94,Quinnshire,Connecticut,
271,Kevin,Mata,Male,11,3rd,79,83,38,95.58,Sandramouth,Mississippi,
272,Lori,Baker,Female,8,6th,28,79,62,76.06,New Ashleymouth,Colorado,
273,Julia,Chambers,Male,8,10th,57,47,36,71.75,Lake Michaelmouth,Delaware,
274,Mark,Nelson,Other,17,12th,45,5,8,84.95,East Kathrynville,Louisiana,
275,Joshua,Ramirez,Other,14,2nd,11,8,37,75.6,East Jennifer,Washington,
276,Leon,Ryan,Female,13,11th,41,27,1,60.34,West Lisa,Louisiana,
277,Joshua,Robinson,Other,8,4th,7,52,58,72.9,South Gordonborough,Utah,
278,Paul,Rivera,Male,14,7th,77,38,5,66.02,Port Edwardfurt,Mississippi,
279,Michelle,Chang,Other,16,6th,82,98,27,94.22,Port Ronnie,Florida,
280,Donald,Rodriguez,Male,6,12th,24,76,36,83.38,Reevesville,Michigan,
281,Matthew,Alvarez,Other,14,2nd,74,63,75,90.71,West Karafort,Pennsylvania,
282,Catherine,Benjamin,Female,6,8th,67,13,15,81.29,South Jacob,Georgia,
283,Troy,Porter,Other,7,11th,28,91,6,86.14,Wigginsshire,New Mexico,
284,Morgan,Powell,Other,16,8th,100,68,62,68.01,Port Rebecca,Missouri,
285,Paula,Briggs,Other,6,8th,98,72,39,92.86,West Thomas,Wisconsin,
286,Brian,Carter,Male,18,4th,35,21,0,97.01,South Meghan,Wisconsin,
287,Kimberly,Carter,Male,6,10th,25,32,55,95.73,West Caitlinview,West Virginia,
288,Hailey,Hunter,Female,12,3rd,2,12,45,88.6,Lyonsbury,Hawaii,
289,Mark,Williams,Male,8,11th,10,76,84,83.07,Port Robertview,Idaho,
290,Crystal,Espinoza,Other,16,7th,68,41,0,67.55,West Zachary,Massachusetts,
291,Alex,Young,Other,9,1st,57,80,6,65.93,East Brittneyport,Iowa,
292,Clarence,Day,Male,7,4th,86,89,32,72.34,South Michellemouth,Hawaii,
293,Lisa,Arnold,Other,17,1st,85,49,17,64.04,North Jamesfurt,Hawaii,
294,Justin,Riley,Female,8,3rd,11,86,44,81.34,Wuton,Washington,
295,Debbie,Doyle,Female,6,10th,65,98,36,97.78,New Calvinstad,Maine,
296,Jonathan,Chandler,Male,9,10th,50,88,100,61.58,Michaelview,Massachusetts,
297,Paul,Johnson,Male,14,3rd,24,17,64,65.09,North Jessicafort,Alabama,
298,Wendy,Lozano,Female,13,3rd,62,42,85,73.94,Port Tommy,Delaware,
299,Yvonne,Cruz,Female,11,11th,40,22,98,62.77,Collinsbury,South Carolina,
300,Melissa,Barr,Male,6,9th,77,81,71,94.82,Port Brianbury,Montana,
301,Anthony,Estrada,Male,15,1st,77,97,19,97.14,North Richardstad,Kentucky,
302,Stephanie,Martin,Male,16,10th,65,88,11,86.33,Port Monicaport,Michigan,
303,Mark,Graves,Other,16,3rd,7,40,91,68.07,Owentown,Colorado,
304,Stephanie,Hudson,Male,15,1st,85,85,34,66.53,South Amy,New Mexico,
305,Nicholas,Richards,Male,13,3rd,46,61,18,99.64,Reeveschester,Arizona,
306,Jennifer,Hayes,Other,16,5th,50,8,93,69.32,South Jasonchester,Nebraska,
307,Victor,Marshall,Female,13,3rd,18,42,25,96.8,Michelleton,New Jersey,
308,Matthew,Shaw,Male,6,9th,91,2,55,90.89,Port James,Massachusetts,
309,William,Roberts,Other,6,7th,54,77,74,61.09,Tylerhaven,New Hampshire,
310,Ryan,Mccann,Male,14,10th,47,74,10,95.11,New David,Colorado,
311,Bill,Gallegos,Male,14,10th,49,57,37,97.78,Kimside,Idaho,
312,Laura,Sullivan,Other,12,11th,47,48,28,64.92,Lake Justinburgh,Wyoming,
313,Brandi,Banks,Female,6,1st,1,65,4,97.92,Brendaborough,Iowa,
314,Nancy,Wagner,Other,6,12th,36,81,60,61.02,New Darleneport,Washington,
315,Anthony,Branch,Male,14,12th,44,94,45,94.7,Port Staceytown,Kentucky,
316,Mason,Odom,Female,17,11th,44,29,31,94.17,Stephanieside,Minnesota,
317,Sandra,Gomez,Other,10,5th,39,64,86,68.34,Patriciafort,Maine,
318,Jason,Evans,Other,14,2nd,57,75,81,61.97,Edwardberg,Pennsylvania,
319,Gregory,Bryan,Female,10,4th,71,90,49,77.54,North Andrew,Texas,
320,Penny,Hanson,Male,6,8th,11,1,54,67.95,East Jesus,Nebraska,
321,Kelsey,Nixon,Other,14,10th,27,29,51,90.84,Smithmouth,Louisiana,
322,Elizabeth,Morse,Other,17,8th,93,2,12,83.61,Ramosberg,Iowa,
323,Travis,Garcia,Other,16,8th,56,78,33,64.99,Cooperton,South Carolina,
324,Jacob,Barrera,Male,12,3rd,94,97,38,98.77,Timothyshire,Maine,
325,Lisa,Martin,Other,18,4th,53,15,76,80.27,Vincentmouth,Tennessee,
326,Raymond,Rivera,Female,8,7th,56,39,39,83.13,Martinville,Nevada,
327,Tasha,Pope,Female,7,10th,36,30,22,80.66,East Mark,Delaware,
328,Michelle,Meyer,Other,7,3rd,20,94,72,66.52,Richardchester,Pennsylvania,
329,Amanda,Mills,Other,14,10th,93,54,55,68.39,New Jasmine,Texas,
330,Michael,Tucker,Female,8,3rd,54,96,86,97.63,East Joseph,Ohio,
331,Lisa,White,Female,9,10th,93,31,41,89.63,Hamiltonburgh,Indiana,
332,Joshua,Dalton,Other,9,11th,53,79,74,74.34,Westville,Arizona,
333,Joseph,Ellis,Female,15,9th,17,10,17,99.81,Andreafurt,Rhode Island,
334,Francisco,Odom,Male,14,5th,75,7,87,76.61,Lake Bailey,Arizona,
335,Kimberly,Kelley,Male,10,3rd,76,17,98,68.41,Richardsonview,South Carolina,
336,Ashley,Lucas,Male,11,12th,11,47,25,63.63,East Harrytown,California,
337,Caleb,Herrera,Male,10,11th,18,63,32,80.28,Wagnerburgh,New Jersey,
338,Melissa,Edwards,Female,18,6th,26,37,17,79.12,Linhaven,Pennsylvania,
339,William,Sanchez,Male,12,8th,38,25,53,80.35,South Codyborough,Utah,
340,Amanda,Stewart,Other,7,10th,60,19,70,97.8,Lake Joel,Indiana,
341,Alexander,Knapp,Other,11,10th,67,48,25,60.65,Brendaton,Delaware,
342,Jose,Mcbride,Male,12,2nd,42,26,38,75.2,Veronicaborough,Illinois,
343,Mario,Boyle,Other,13,4th,8,82,39,76.8,New Samantha,Virginia,
344,Andrea,Fitzgerald,Male,15,7th,75,4,10,98.46,Goodmanview,Nevada,
345,Dennis,Miller,Male,9,7th,96,30,38,64,Richardsonborough,New York,
346,John,Brooks,Male,17,3rd,48,92,72,74.42,Woodsshire,Massachusetts,
347,Calvin,Henderson,Other,9,2nd,11,76,80,72.4,West Rebeccaborough,Michigan,
348,Molly,Clark,Other,10,1st,0,56,59,62.61,Lake Haley,Louisiana,
349,Christina,Bean,Male,16,4th,52,94,69,97.84,South Timothy,Kansas,
350,Samantha,Luna,Male,7,9th,81,42,23,86.08,Port Kennethchester,Texas,
351,Brandon,Norris,Male,16,9th,34,17,48,69.17,Welchside,Maine,
352,Geoffrey,Gibson,Male,16,11th,53,35,100,88.05,Lake Brian,New York,
353,Sean,Johnson,Female,18,7th,22,40,55,86.02,West Jennifer,New Hampshire,
354,Timothy,King,Male,6,3rd,71,82,12,92.41,Suzanneburgh,South Dakota,
355,Cathy,Mills,Other,7,10th,59,100,17,95.04,Deannafurt,Rhode Island,
356,Deborah,Jenkins,Male,12,2nd,90,97,67,60.63,New Jill,Ohio,
357,Christopher,Ramirez,Female,12,3rd,72,5,56,98.57,Rodriguezhaven,Pennsylvania,
358,Natasha,Bowman,Other,12,8th,96,66,88,89.19,Williamsview,South Dakota,
359,Morgan,Wood,Female,14,10th,17,53,40,95.89,New Malik,Alaska,
360,John,Mullins,Male,13,10th,25,82,64,61.81,Ellischester,Kentucky,
361,Kelsey,Reed,Other,6,1st,23,36,87,93.9,New Cristian,Ohio,
362,Brandon,Stevenson,Male,16,9th,48,96,91,67.09,Fredbury,West Virginia,
363,Joanne,Moses,Other,6,9th,37,3,45,60.37,New Brent,Oklahoma,
364,Daniel,Norris,Other,17,2nd,70,29,59,80.74,South Zacharyville,Wisconsin,
365,Karen,Morgan,Other,8,2nd,62,93,45,65.61,Garciaburgh,Georgia,
366,Dawn,Hill,Female,7,8th,5,42,54,78.79,East Theodore,New Mexico,
367,Jessica,Munoz,Male,13,11th,38,43,59,61.56,Alishaside,Louisiana,
368,Vickie,Sellers,Female,12,3rd,74,31,53,83.85,Colleenside,Alaska,
369,Donald,Joseph,Female,16,10th,38,26,52,68.39,West Valeriehaven,Alabama,
370,Joseph,Moreno,Male,18,9th,63,69,59,89.59,New Wesleytown,Texas,
371,Benjamin,Clark,Male,11,1st,71,6,3,71.72,Solisfort,Massachusetts,
372,Gavin,Lewis,Male,15,11th,94,85,71,84.7,West Diana,Wyoming,
373,Allison,Smith,Other,7,11th,59,31,3,92.93,Richardport,Connecticut,
374,Phillip,Bell,Female,14,7th,28,87,98,76.77,East Andrew,Tennessee,
375,Andrew,Williams,Female,6,9th,3,89,53,66.99,Johnsonfurt,Virginia,
376,Krista,Miller,Female,9,7th,0,92,11,80.74,West Elizabethfurt,Oregon,
377,Paige,Reynolds,Female,9,6th,19,28,96,66.06,Diazstad,Alaska,
378,John,Spencer,Female,17,1st,33,77,17,92.38,New Victoriachester,Oklahoma,
379,Charles,Hart,Other,15,12th,38,48,78,86.75,West Tracy,North Dakota,
380,Danny,Howard,Male,13,9th,81,66,38,74.6,Kristenfurt,South Dakota,
381,Ian,Fox,Other,10,7th,81,41,100,97,Ramirezmouth,Vermont,
382,Ruth,Robinson,Other,6,4th,60,23,31,91.46,Espinozachester,California,
383,James,Garcia,Other,7,8th,15,56,74,61.2,Samanthaland,South Dakota,
384,Amy,Dudley,Male,16,7th,83,80,65,68.16,South Ianton,New York,
385,Melissa,Young,Male,10,6th,85,0,47,76.15,Joseberg,Hawaii,
386,Jeffrey,Smith,Female,14,10th,36,8,16,74.93,Riosberg,Mississippi,
387,Matthew,Castillo,Other,15,12th,53,62,79,93.66,Griffinstad,Vermont,
388,Andrea,Gregory,Female,16,12th,22,8,69,84.88,Watsonmouth,Massachusetts,
389,Karen,Odom,Male,6,10th,62,24,72,61.14,West Brandonton,South Carolina,
390,Sarah,Morales,Male,8,2nd,88,6,37,61.03,Greenemouth,Nevada,
391,Willie,Newman,Male,11,7th,82,81,6,61.14,Kylestad,North Dakota,
392,Luke,Rice,Male,6,3rd,31,18,96,78.82,East Yolandahaven,South Carolina,
393,Pamela,Franklin,Other,9,5th,3,26,50,89.4,West Ryan,Ohio,
394,Daniel,Richmond,Female,15,8th,15,16,16,65.77,Parkerton,Iowa,
395,Peter,Bell,Male,8,4th,97,11,51,76.31,Marioberg,Indiana,
396,Dana,Rodriguez,Female,18,2nd,35,22,85,81.58,North Erin,Washington,
397,Vincent,Valdez,Male,17,5th,63,75,0,90.5,South Amandaport,Virginia,
398,Amber,Mendez,Female,12,10th,8,70,59,88.9,West Anita,Tennessee,
399,Brian,Smith,Female,7,9th,76,26,97,66.79,Port Cindyborough,Connecticut,
400,Charles,Manning,Male,10,7th,95,30,66,64,South Michael,Georgia,
401,Scott,Erickson,Male,8,5th,46,64,58,73.95,Stephaniestad,New Hampshire,
402,Kathy,Vargas,Female,15,4th,74,10,6,68.91,Moorefurt,Hawaii,
403,Alexis,Lopez,Other,9,1st,61,54,10,76.8,Crosbybury,Alaska,
404,Ryan,Ramirez,Male,15,12th,72,92,7,62.65,Coleview,Colorado,
405,Jessica,Bennett,Male,12,12th,55,59,34,98.75,West Heather,Arkansas,
406,Jesse,Dawson,Other,16,1st,33,39,83,78.58,Lake Amyton,Nebraska,
407,Brandon,Ryan,Other,14,10th,80,21,13,76.6,Wellsville,Washington,
408,Mark,Smith,Male,11,9th,87,92,42,95.93,Patelville,Nebraska,
409,Joyce,Walker,Male,12,2nd,60,25,76,77.62,North Michaelville,Mississippi,
410,Alexander,Wade,Male,18,9th,88,31,12,94.28,South Andrew,Mississippi,
411,Bridget,Osborne,Male,17,1st,15,54,37,92.38,Newmanton,Utah,
412,Dana,Wong,Female,8,7th,47,22,72,60.03,Matthewsside,Montana,
413,Mark,Berry,Female,18,11th,65,77,61,79.05,East Christinehaven,Idaho,
414,Colleen,Brady,Female,17,4th,93,31,88,95.98,Courtneychester,Mississippi,
415,Patricia,Parker,Male,17,12th,73,38,42,70.27,Acostaport,Kansas,
416,Krista,Salas,Female,7,6th,2,36,7,72.92,Amberstad,Mississippi,
417,Justin,Harper,Male,14,7th,33,73,15,81.6,South Jacqueline,Florida,
418,Kristina,Wilson,Male,17,6th,20,57,94,98.28,Phillipsberg,West Virginia,
419,Kathleen,Anderson,Female,11,2nd,74,81,74,86.74,Port Valerieside,New Hampshire,
420,Karen,Martin,Male,6,3rd,7,25,86,63.86,East Michaelchester,Texas,
421,Susan,Dennis,Female,7,7th,18,34,65,79.71,Port David,Minnesota,
422,Susan,Knight,Female,12,11th,40,100,94,93.24,East Jamesborough,Indiana,
423,Christopher,Smith,Female,9,10th,59,61,91,82.85,Gayton,New Mexico,
424,Destiny,Branch,Female,7,5th,88,10,6,65.03,East Mary,North Carolina,
